number,content,section,Punktzahl,1.0-fach,2.3-fach,3.5-fach,reference,parsed_references,rule
7080,"Versorgung eines Kiefers mit einem
festsitzenden laborgefertigten Pro -
visorium (einschließlich Vorpräpa -
ration) im indirekten Verfahren, je
Zahn oder je Implantat, einschließ -
lich Entfernung",H_Eingliederung_von_Aufbissbehelfen_und_Schienen,600.0,33.75,77.61,118.11,The text does not mention any references to other paragraphs.,,
7090,"Versorgung eines Kiefers mit einem
laborgefertigten Provisorium im indi -
rekten Verfahren, je Brückenglied,
einschließlich Entfernung
Die Berechnung der Leistungen
nach den Nummern 7080 und 7090 setzt voraus, dass es sich bei
dem festsitzenden laborgefertig -
ten Provisorium um ein Langzeit -
provisorium mit einer Tragezeit von
mindestens drei Monaten handelt.
Beträgt die Tragezeit des festsit -
zenden laborgefertigten Provisori -
ums unter drei Monaten, sind
anstelle der Leistungen nach den
Nummern 7080 und 7090 die Leis -
tungen nach den Nummern 2260, 2270 oder 5120 und 5140 berech -
nungsfähig. Im Zusammenhang
mit den Leistungen nach den
Nummern 7080 oder 7090 sind die
Leistungen nach den Nummern
2230, 2240, 5050 oder 5060 nicht
berechnungsfähig.",H_Eingliederung_von_Aufbissbehelfen_und_Schienen,270.0,15.19,34.93,53.15,"References: Nummern 7080, 7090, 2260, 2270, 5120, 5140, 2230, 2240, 5050, 5060",,"Die Berechnung der Leistungen nach den Nummern 7080 und 7090 setzt voraus, dass es sich bei dem festsitzenden laborgefertigten Provisorium um ein Langzeitprovisorium mit einer Tragezeit von mindestens drei Monaten handelt."
7090,"Versorgung eines Kiefers mit einem
laborgefertigten Provisorium im indi -
rekten Verfahren, je Brückenglied,
einschließlich Entfernung
Die Berechnung der Leistungen
nach den Nummern 7080 und 7090 setzt voraus, dass es sich bei
dem festsitzenden laborgefertig -
ten Provisorium um ein Langzeit -
provisorium mit einer Tragezeit von
mindestens drei Monaten handelt.
Beträgt die Tragezeit des festsit -
zenden laborgefertigten Provisori -
ums unter drei Monaten, sind
anstelle der Leistungen nach den
Nummern 7080 und 7090 die Leis -
tungen nach den Nummern 2260, 2270 oder 5120 und 5140 berech -
nungsfähig. Im Zusammenhang
mit den Leistungen nach den
Nummern 7080 oder 7090 sind die
Leistungen nach den Nummern
2230, 2240, 5050 oder 5060 nicht
berechnungsfähig.",H_Eingliederung_von_Aufbissbehelfen_und_Schienen,270.0,15.19,34.93,53.15,"References: Nummern 7080, 7090, 2260, 2270, 5120, 5140, 2230, 2240, 5050, 5060",,"Beträgt die Tragezeit des festsitzenden laborgefertigten Provisoriums unter drei Monaten, sind anstelle der Leistungen nach den Nummern 7080 und 7090 die Leistungen nach den Nummern 2260, 2270 oder 5120 und 5140 berechnungsfähig."
7090,"Versorgung eines Kiefers mit einem
laborgefertigten Provisorium im indi -
rekten Verfahren, je Brückenglied,
einschließlich Entfernung
Die Berechnung der Leistungen
nach den Nummern 7080 und 7090 setzt voraus, dass es sich bei
dem festsitzenden laborgefertig -
ten Provisorium um ein Langzeit -
provisorium mit einer Tragezeit von
mindestens drei Monaten handelt.
Beträgt die Tragezeit des festsit -
zenden laborgefertigten Provisori -
ums unter drei Monaten, sind
anstelle der Leistungen nach den
Nummern 7080 und 7090 die Leis -
tungen nach den Nummern 2260, 2270 oder 5120 und 5140 berech -
nungsfähig. Im Zusammenhang
mit den Leistungen nach den
Nummern 7080 oder 7090 sind die
Leistungen nach den Nummern
2230, 2240, 5050 oder 5060 nicht
berechnungsfähig.",H_Eingliederung_von_Aufbissbehelfen_und_Schienen,270.0,15.19,34.93,53.15,"References: Nummern 7080, 7090, 2260, 2270, 5120, 5140, 2230, 2240, 5050, 5060",,"Im Zusammenhang mit den Leistungen nach den Nummern 7080 oder 7090 sind die Leistungen nach den Nummern 2230, 2240, 5050 oder 5060 nicht berechnungsfähig."
7100,"Maßnahmen zur Wiederherstellung
der Funktion eines Langzeitprovisori -
ums, je Krone, Spanne oder Freiend -
brückenglied
Die Wiedereingliederung desselben
festsitzenden laborgefertigten Provi -
soriums nach den Nummern 7080
oder 7090, gegebenenfalls auch
mehrmals, einschließlich Entfernung,
ist mit den Gebühren nach den
Nummern 7080 bis 7100 abgegolten.",H_Eingliederung_von_Aufbissbehelfen_und_Schienen,200.0,11.25,25.87,39.37,"References: Nummern 7080, 7090, 7080 bis 7100",,"The reintegration of the same fixed laboratory-made provisional according to the numbers 7080 or 7090, possibly several times, including removal, is covered by the fees according to the numbers 7080 to 7100."
8000,"Klinische Funktionsanalyse ein -
schließlich Dokumentation
Die Leistung nach der Nummer 8000 umfasst auch folgende zahn -
ärztliche Leistungen: prophylakti -
sche, prothetische, parodonto-
logische und okklusale Befunder -
hebung, funktionsdiagnostische
Auswertung von Röntgenaufnah -
men des Schädels und der Halswir -
belsäule, klinische Reaktionstests
(z.B. Resilienztest, Provokationstest).",J_Funktionsanalytische_und,500.0,28.12,64.68,98.42,The text does not mention any references to other paragraphs.,,
8010,"Registrieren der gelenkbezügli -
chen Zentrallage des Unterkiefers,
auch Stützstiftregistrierung, je Re -
gistrat
Die Leistung nach der Nummer 8010 ist je Sitzung höchstens zwei -
mal berechnungsfähig.
Neben der Leistung nach der
Nummer 8010 sind die Material-
und Laborkosten für die Bissnahme
und die Lieferung und Anbringung
des Stützstiftbestecks gesondert
berechnungsfähig.",J_Funktionsanalytische_und,180.0,10.12,23.28,35.43,The text does not contain any references to other paragraphs.,,"Die Leistung nach der Nummer 8010 ist je Sitzung höchstens zwei -
mal berechnungsfähig."
8010,"Registrieren der gelenkbezügli -
chen Zentrallage des Unterkiefers,
auch Stützstiftregistrierung, je Re -
gistrat
Die Leistung nach der Nummer 8010 ist je Sitzung höchstens zwei -
mal berechnungsfähig.
Neben der Leistung nach der
Nummer 8010 sind die Material-
und Laborkosten für die Bissnahme
und die Lieferung und Anbringung
des Stützstiftbestecks gesondert
berechnungsfähig.",J_Funktionsanalytische_und,180.0,10.12,23.28,35.43,The text does not contain any references to other paragraphs.,,"Neben der Leistung nach der
Nummer 8010 sind die Material-
und Laborkosten für die Bissnahme
und die Lieferung und Anbringung
des Stützstiftbestecks gesondert
berechnungsfähig."
8020,"Arbiträre Scharnierachsenbestim -
mung (eingeschlossen sind die arbi -
träre Scharnierachsenbestimmung,
das Anlegen eines Übertragungs -
bogens, das Koordinieren eines
Übertragungsbogens mit einem Ar -
tikulator)",J_Funktionsanalytische_und,300.0,16.87,38.81,59.05,The text provided does not contain any references to other paragraphs.,,
8030,"Kinematische Scharnierachsenbe -
stimmung (eingeschlossen sind die
kinematische Scharnierachsenbe -
stimmung, das definitive Markieren
der Referenzpunkte, das Anlegen
eines Übertragungsbogens, das
Koordinieren eines Übertragungs -
bogens mit einem Artikulator)",J_Funktionsanalytische_und,550.0,30.93,71.15,108.27,The text does not mention any references to other paragraphs.,,
8035,"Kinematische Scharnierachsenbe -
stimmung mittels elektronischer
Aufzeichnung (eingeschlossen
sind die kinematische Scharnier -
achsenbestimmung, das definitive
Markieren der Referenzpunkte, ge -
gebenenfalls das Anlegen eines
Übertragungsbogens, gegebe -
nenfalls das Koordinieren eines
Übertragungsbogens mit einem
Artikulator)
Neben den Leistungen nach den
Nummern 8020 bis 8035 sind die
Material- und Laborkosten für
die Artikulation des Ober- und
Unterkiefermodells im (halb) indivi -
duellen Artikulator gesondert be -
rechnungsfähig.",J_Funktionsanalytische_und,550.0,30.93,71.15,108.27,References: Nummern 8020 bis 8035,,Neben den Leistungen nach den Nummern 8020 bis 8035 sind die Material- und Laborkosten für die Artikulation des Ober- und Unterkiefermodells im (halb) individuellen Artikulator gesondert berechnungsfähig.
8050,"Registrieren von Unterkieferbewe -
gungen zur Einstellung halbindivi -
dueller Artikulatoren und Ein-
stellung nach den gemessenen
Werten, je Sitzung",J_Funktionsanalytische_und,500.0,28.12,64.68,98.42,The text does not mention any references to other paragraphs.,,
8060,"Registrieren von Unterkieferbewe -
gungen zur Einstellung voll adjus -
tierbarer Artikulatoren und Ein-
stellung nach den gemessenen
Werten, je Sitzung",J_Funktionsanalytische_und,750.0,42.18,97.02,147.64,The text does not mention any references to other paragraphs.,,
8065,"Registrieren von Unterkieferbewe -
gungen mittels elektronischer Auf -
zeichnung zur Einstellung voll
adjustierbarer Artikulatoren und
Einstellung nach den gemessenen
Werten, je Sitzung
Neben den Leistungen nach den
Nummern 8050 bis 8065 sind Mate -
rial- und Laborkosten für die Ein -
stellung des (halb) individuellen
Artikulators nach den gemessenen
Werten gesondert berechnungs -
fähig.",J_Funktionsanalytische_und,850.0,47.81,109.95,167.32,References: Nummern 8050 bis 8065,,Neben den Leistungen nach den Nummern 8050 bis 8065 sind Material- und Laborkosten für die Einstellung des (halb) individuellen Artikulators nach den gemessenen Werten gesondert berechnungsfähig.
8080,"Diagnostische Maßnahmen an
Modellen im Artikulator einschließ -
lich subtraktiver oder additiver Kor -
rekturen, Befundauswertung und
Behandlungsplanung, je Sitzung",J_Funktionsanalytische_und,250.0,14.06,32.34,49.21,The text does not mention any references to other paragraphs.,,
8090,"Diagnostischer Aufbau von Funkti -
onsflächen am natürlichen Gebiss,
am festsitzenden und/oder he -
rausnehmbaren Zahnersatz, je Sit -
zung",J_Funktionsanalytische_und,250.0,14.06,32.34,49.21,The text does not mention any references to other paragraphs.,,
8100,"Systematische subtraktive Maß -
nahmen am natürlichen Gebiss,
am festsitzenden und/oder he -
rausnehmbaren Zahnersatz, je
Zahnpaar",J_Funktionsanalytische_und,20.0,1.12,2.59,3.94,The text does not mention any references to other paragraphs.,,
9000,"Implantatbezogene Analyse und
Vermessung des Alveolarfortsat -
zes, des Kieferkörpers und der
angrenzenden knöchernen Struk -
turen sowie der Schleimhaut, ein -
schließlich metrischer Auswertung
von radiologischen Befundunterla -
gen, Modellen und Fotos zur Fest -
stellung der Implantatposition,
gegebenenfalls mit Hilfe einer indi -
viduellen Schablone zur Diagnostik,
einschließlich Implantatauswahl, je
Kiefer.
Bei Verwendung einer Röntgen -
messschablone sind die Material-
und Laborkosten gesondert be -
rechnungsfähig.",K_Implantologische_Leistungen,884.0,49.72,114.35,174.01,The text does not mention any references to other paragraphs.,,"Bei Verwendung einer Röntgen -
messschablone sind die Material-
und Laborkosten gesondert be -
rechnungsfähig."
9003,"Verwenden einer Orientierungs -
schablone/Positionierungsschab -
lone zur Implantation, je Kiefer
Bei Verwendung einer Orientie -
rungsschablone sind die Material-
und Laborkosten gesondert be -
rechnungsfähig.",K_Implantologische_Leistungen,100.0,5.62,12.94,19.68,The text does not mention any references to other paragraphs.,,"Bei Verwendung einer Orientie -
rungsschablone sind die Material-
und Laborkosten gesondert be -
rechnungsfähig."
9005,"Verwenden einer auf dreidimen -
sionale Daten gestützten Naviga -
tionsschablone/chirurgischen
Führungsschablone zur Implanta -
tion, gegebenenfalls einschließlich
Fixierung, je Kiefer
Die verwendeten Fixierungsele -
mente sowie die Material- und
Laborkosten der Navigationsschab -
lone sind gesondert berechnungs -
fähig.",K_Implantologische_Leistungen,300.0,16.87,38.81,59.05,The text does not mention any references to other paragraphs.,,Die verwendeten Fixierungselemente sowie die Material- und Laborkosten der Navigationsschablone sind gesondert berechnungsfähig.
9010,"Implantatinsertion, je Implantat
Präparieren einer Knochenkavität
für ein enossales Implantat, Einset -
zen einer Implantatschablone zur
Überprüfung der Knochenkavität
(z.B. Tiefenlehre), gegebenenfalls
einschließlich Knochenkondensa -
tion, Knochenglättung im Bereich
des Implantats, Einbringen eines
enossalen Implantats einschließlich
Verschlussschraube und gegebe -
nenfalls Einbringen von Auf-
bauelementen bei offener Einhei -
lung sowie Wundverschluss",K_Implantologische_Leistungen,1545.0,86.89,199.86,304.13,The text does not mention any references to other paragraphs.,,
9020,"Insertion eines Implantats zum
temporären Verbleib, auch ortho -
dontisches Implantat",K_Implantologische_Leistungen,515.0,28.96,66.62,101.38,The text does not mention any references to other paragraphs.,,
9040,"Freilegen eines Implantats, und
Einfügen eines oder mehrerer Auf -
bauelemente (z.B. eines Gingiva -
formers) bei einem zweiphasigen
Implantatsystem",K_Implantologische_Leistungen,626.0,35.21,80.98,123.23,The text does not mention any references to other paragraphs.,,
9050,"Entfernen und Wiedereinsetzen
sowie Auswechseln eines oder
mehrerer Aufbauelemente bei
einem zweiphasigen Implantatsys -
tem während der rekonstruktiven
Phase
1. Die Leistung nach der Nummer 9050 ist nicht neben den Leistun -
gen nach den Nummern 9010 und 9040 berechnungsfähig.
2. Die Leistung nach der Nummer 9050 ist je Implantat höchstens
dreimal und höchstens einmal je
Sitzung berechnungsfähig.",K_Implantologische_Leistungen,313.0,17.6,40.49,61.61,"References: Nummer 9050, Nummer 9010, Nummer 9040",,1. Die Leistung nach der Nummer 9050 ist nicht neben den Leistungen nach den Nummern 9010 und 9040 berechnungsfähig.
9050,"Entfernen und Wiedereinsetzen
sowie Auswechseln eines oder
mehrerer Aufbauelemente bei
einem zweiphasigen Implantatsys -
tem während der rekonstruktiven
Phase
1. Die Leistung nach der Nummer 9050 ist nicht neben den Leistun -
gen nach den Nummern 9010 und 9040 berechnungsfähig.
2. Die Leistung nach der Nummer 9050 ist je Implantat höchstens
dreimal und höchstens einmal je
Sitzung berechnungsfähig.",K_Implantologische_Leistungen,313.0,17.6,40.49,61.61,"References: Nummer 9050, Nummer 9010, Nummer 9040",,2. Die Leistung nach der Nummer 9050 ist je Implantat höchstens dreimal und höchstens einmal je Sitzung berechnungsfähig.
9060,"Auswechseln von Aufbauelemen -
ten (Sekundärteilen) im Reparatur -
fall
Die Leistung nach der Nummer 9060 ist für ein Implantat höchs -
tens einmal je Sitzung berech -
nungsfähig.",K_Implantologische_Leistungen,313.0,17.6,40.49,61.61,The text does not mention any references to other paragraphs.,,Die Leistung nach der Nummer 9060 ist für ein Implantat höchstens einmal je Sitzung berechnungsfähig.
9090,"Knochengewinnung (z.B. Knochen -
kollektor oder Knochenschaber),
Knochenaufbereitung und -im -
plantation, auch zur Weichteilun -
terfütterung
Die Kosten eines einmal verwend -
baren Knochenkollektors oder
-schabers sind gesondert berech -
nungsfähig.",K_Implantologische_Leistungen,400.0,22.5,51.74,78.74,The text does not mention any references to other paragraphs.,,Die Kosten eines einmal verwendbaren Knochenkollektors oder -schabers sind gesondert berechnungsfähig.
9100,"Aufbau des Alveolarfortsatzes
durch Augmentation ohne zusätzli -
che Stabilisierungsmaßnahmen, je
Kieferhälfte oder Frontzahnbereich
Mit der Leistung nach der Nummer 9100 sind folgende Leistungen
abgegolten: Lagerbildung, Glät -
tung des Alveolarfortsatzes, gege -
benenfalls Entnahme von Knochen
innerhalb des Aufbaugebietes,
Einbringung von Aufbaumaterial
(Knochen und/oder Knochener -
satzmaterial) und Wundverschluss
mit vollständiger Schleimhautab -
deckung, gegebenenfalls ein -
schließlich Einbringung und Fixie-
rung resorbierbarer oder nicht re -
sorbierbarer Barrieren
1. Die Leistung nach der Nummer 9100 ist für die Glättung des Alveo -
larfortsatzes im Bereich des Implan -
tatbettes nicht berechnungsfähig.
2. Neben der Leistung nach der
Nummer 9100 sind die Leistungen
nach der Nummer 9130 nicht be -
rechnungsfähig.
3. Wird die Leistung nach der Num -
mer 9100 in derselben Kieferhälfte
neben der Leistung nach der Num -
mer 9110 erbracht, ist die Hälfte der
Gebühr der Nummer 9100 berech -
nungsfähig.
4. Wird die Leistung nach der Num -
mer 9100 in derselben Kieferhälfte
neben der Leistung nach der Num -
mer 9120 erbracht, ist ein Drittel der
Gebühr der Nummer 9100 berech -
nungsfähig.",K_Implantologische_Leistungen,2694.0,151.52,348.49,530.31,"References: Nummer 9100, Nummer 9130, Nummer 9110, Nummer 9120",,1. Die Leistung nach der Nummer 9100 ist für die Glättung des Alveolarfortsatzes im Bereich des Implantatbettes nicht berechnungsfähig.
9100,"Aufbau des Alveolarfortsatzes
durch Augmentation ohne zusätzli -
che Stabilisierungsmaßnahmen, je
Kieferhälfte oder Frontzahnbereich
Mit der Leistung nach der Nummer 9100 sind folgende Leistungen
abgegolten: Lagerbildung, Glät -
tung des Alveolarfortsatzes, gege -
benenfalls Entnahme von Knochen
innerhalb des Aufbaugebietes,
Einbringung von Aufbaumaterial
(Knochen und/oder Knochener -
satzmaterial) und Wundverschluss
mit vollständiger Schleimhautab -
deckung, gegebenenfalls ein -
schließlich Einbringung und Fixie-
rung resorbierbarer oder nicht re -
sorbierbarer Barrieren
1. Die Leistung nach der Nummer 9100 ist für die Glättung des Alveo -
larfortsatzes im Bereich des Implan -
tatbettes nicht berechnungsfähig.
2. Neben der Leistung nach der
Nummer 9100 sind die Leistungen
nach der Nummer 9130 nicht be -
rechnungsfähig.
3. Wird die Leistung nach der Num -
mer 9100 in derselben Kieferhälfte
neben der Leistung nach der Num -
mer 9110 erbracht, ist die Hälfte der
Gebühr der Nummer 9100 berech -
nungsfähig.
4. Wird die Leistung nach der Num -
mer 9100 in derselben Kieferhälfte
neben der Leistung nach der Num -
mer 9120 erbracht, ist ein Drittel der
Gebühr der Nummer 9100 berech -
nungsfähig.",K_Implantologische_Leistungen,2694.0,151.52,348.49,530.31,"References: Nummer 9100, Nummer 9130, Nummer 9110, Nummer 9120",,2. Neben der Leistung nach der Nummer 9100 sind die Leistungen nach der Nummer 9130 nicht berechnungsfähig.
9100,"Aufbau des Alveolarfortsatzes
durch Augmentation ohne zusätzli -
che Stabilisierungsmaßnahmen, je
Kieferhälfte oder Frontzahnbereich
Mit der Leistung nach der Nummer 9100 sind folgende Leistungen
abgegolten: Lagerbildung, Glät -
tung des Alveolarfortsatzes, gege -
benenfalls Entnahme von Knochen
innerhalb des Aufbaugebietes,
Einbringung von Aufbaumaterial
(Knochen und/oder Knochener -
satzmaterial) und Wundverschluss
mit vollständiger Schleimhautab -
deckung, gegebenenfalls ein -
schließlich Einbringung und Fixie-
rung resorbierbarer oder nicht re -
sorbierbarer Barrieren
1. Die Leistung nach der Nummer 9100 ist für die Glättung des Alveo -
larfortsatzes im Bereich des Implan -
tatbettes nicht berechnungsfähig.
2. Neben der Leistung nach der
Nummer 9100 sind die Leistungen
nach der Nummer 9130 nicht be -
rechnungsfähig.
3. Wird die Leistung nach der Num -
mer 9100 in derselben Kieferhälfte
neben der Leistung nach der Num -
mer 9110 erbracht, ist die Hälfte der
Gebühr der Nummer 9100 berech -
nungsfähig.
4. Wird die Leistung nach der Num -
mer 9100 in derselben Kieferhälfte
neben der Leistung nach der Num -
mer 9120 erbracht, ist ein Drittel der
Gebühr der Nummer 9100 berech -
nungsfähig.",K_Implantologische_Leistungen,2694.0,151.52,348.49,530.31,"References: Nummer 9100, Nummer 9130, Nummer 9110, Nummer 9120",,"3. Wird die Leistung nach der Nummer 9100 in derselben Kieferhälfte neben der Leistung nach der Nummer 9110 erbracht, ist die Hälfte der Gebühr der Nummer 9100 berechnungsfähig."
9100,"Aufbau des Alveolarfortsatzes
durch Augmentation ohne zusätzli -
che Stabilisierungsmaßnahmen, je
Kieferhälfte oder Frontzahnbereich
Mit der Leistung nach der Nummer 9100 sind folgende Leistungen
abgegolten: Lagerbildung, Glät -
tung des Alveolarfortsatzes, gege -
benenfalls Entnahme von Knochen
innerhalb des Aufbaugebietes,
Einbringung von Aufbaumaterial
(Knochen und/oder Knochener -
satzmaterial) und Wundverschluss
mit vollständiger Schleimhautab -
deckung, gegebenenfalls ein -
schließlich Einbringung und Fixie-
rung resorbierbarer oder nicht re -
sorbierbarer Barrieren
1. Die Leistung nach der Nummer 9100 ist für die Glättung des Alveo -
larfortsatzes im Bereich des Implan -
tatbettes nicht berechnungsfähig.
2. Neben der Leistung nach der
Nummer 9100 sind die Leistungen
nach der Nummer 9130 nicht be -
rechnungsfähig.
3. Wird die Leistung nach der Num -
mer 9100 in derselben Kieferhälfte
neben der Leistung nach der Num -
mer 9110 erbracht, ist die Hälfte der
Gebühr der Nummer 9100 berech -
nungsfähig.
4. Wird die Leistung nach der Num -
mer 9100 in derselben Kieferhälfte
neben der Leistung nach der Num -
mer 9120 erbracht, ist ein Drittel der
Gebühr der Nummer 9100 berech -
nungsfähig.",K_Implantologische_Leistungen,2694.0,151.52,348.49,530.31,"References: Nummer 9100, Nummer 9130, Nummer 9110, Nummer 9120",,"4. Wird die Leistung nach der Nummer 9100 in derselben Kieferhälfte neben der Leistung nach der Nummer 9120 erbracht, ist ein Drittel der Gebühr der Nummer 9100 berechnungsfähig."
9110,"Geschlossene Sinusbodeneleva -
tion vom Kieferkamm aus (interner
Sinuslift)
Mit einer Leistung nach der Num -
mer 9110 sind folgende Leistun -
gen abgegolten: Schaffung des
Zugangs durch die Alveole oder
das Implantatfach, Anhebung des
Kieferhöhlenbodens durch kno -
chenverdrängende oder knochen -
verdichtende Maßnahmen und
der Kieferhöhlenmembran, Ent -
nahme von Knochenspänen inner -
halb des Aufbaugebietes des
Implantatfaches und Einbringen
von Aufbaumaterial (Knochen
und/oder Knochenersatzmaterial)
Die Leistung nach der Nummer 9110 ist für dieselbe Implantatkavi -
tät nicht neben den Leistungen
nach den Nummern 9120 und 9130 berechnungsfähig.",K_Implantologische_Leistungen,1500.0,84.36,194.04,295.27,"References: Nummer 9110, Nummern 9120 und 9130",,"Die Leistung nach der Nummer 9110 ist für dieselbe Implantatkavi -
tät nicht neben den Leistungen
nach den Nummern 9120 und 9130 berechnungsfähig."
9120,"Sinusbodenelevation durch ex -
terne Knochenfensterung (exter -
ner Sinuslift), je Kieferhälfte
Mit einer Leistung nach der Num -
mer 9120 sind folgende Leistun -
gen abgegolten: Schaffung des
Zugangs zur Kieferhöhle durch
Knochenfensterung (auch Kno -
chendeckel), Präparation der Kie -
ferhöhlenmembran, Anhebung
des Kieferhöhlenbodens und der
Kieferhöhlenmembran, Lagerbil -
dung, gegebenenfalls Entnahme
von Knochenspänen innerhalb
des Aufbaugebietes, Einbringung
von Aufbaumaterial (Knochen
und/oder Knochenersatzmaterial),
gegebenenfalls Einbringung resor -
bierbarer oder nicht resorbierbarer
Barrieren €einschließlich Fixierung 䴄
gegebenenfalls Reposition des
Knochendeckels, Verschluss der
Kieferhöhle und Wundverschluss",K_Implantologische_Leistungen,3000.0,168.73,388.07,590.54,The text does not contain any references to other paragraphs.,,
9130,"Spaltung und Spreizung von Kno -
chensegmenten (Bone Splitting),
gegebenenfalls mit Auffüllung der
Spalträume mittels Knochen oder
Knochenersatzmaterial, gegebe -
nenfalls einschließlich zusätzlicher
Osteosynthesemaßnahmen, gege -
benenfalls einschließlich Einbrin -
gung resorbierbarer oder nicht
resorbierbarer Barrieren und deren
Fixierung je Kieferhälfte oder Front -
zahnbereich, oder vertikale Distrak -
tion des Alveolarfortsatzes ein-
schließlich Fixierung, je Kieferhälfte
oder Frontzahnbereich
Neben der Leistung nach der
Nummer 9130 ist die Leistung nach
der Nummer 9100 nicht berech -
nungsfähig.",K_Implantologische_Leistungen,1540.0,86.61,199.21,303.14,"References: Nummer 9130, Nummer 9100",,Neben der Leistung nach der Nummer 9130 ist die Leistung nach der Nummer 9100 nicht berechnungsfähig.
9140,"Intraorale Entnahme von Knochen
außerhalb des Aufbaugebietes ge -
gebenenfalls einschließlich Aufbe -
reitung des Knochenmaterials
und/oder der Aufnahmeregion,
einschließlich der notwendigen Ver -
sorgung der Entnahmestelle, je Kie -
ferhälfte oder Frontzahnbereich
Bei Entnahme von einem oder
mehreren Knochenblöcken ist das
Doppelte der Gebühr nach der
Nummer 9140 berechnungsfähig.
Von einem Knochenblock im
Sinne dieser Abrechnungsbestim -
mung ist auszugehen, wenn dieser
bei der Implantation eigenständig
fixiert werden muss.",K_Implantologische_Leistungen,650.0,36.56,84.08,127.95,References: Nummer 9140,,Bei Entnahme von einem oder mehreren Knochenblöcken ist das Doppelte der Gebühr nach der Nummer 9140 berechnungsfähig.
9140,"Intraorale Entnahme von Knochen
außerhalb des Aufbaugebietes ge -
gebenenfalls einschließlich Aufbe -
reitung des Knochenmaterials
und/oder der Aufnahmeregion,
einschließlich der notwendigen Ver -
sorgung der Entnahmestelle, je Kie -
ferhälfte oder Frontzahnbereich
Bei Entnahme von einem oder
mehreren Knochenblöcken ist das
Doppelte der Gebühr nach der
Nummer 9140 berechnungsfähig.
Von einem Knochenblock im
Sinne dieser Abrechnungsbestim -
mung ist auszugehen, wenn dieser
bei der Implantation eigenständig
fixiert werden muss.",K_Implantologische_Leistungen,650.0,36.56,84.08,127.95,References: Nummer 9140,,"Von einem Knochenblock im Sinne dieser Abrechnungsbestimmung ist auszugehen, wenn dieser bei der Implantation eigenständig fixiert werden muss."
9150,"Fixation oder Stabilisierung des
Augmentates durch Osteosynthe -
semaßnahmen (z.B. Schrauben-
oder Plattenosteosynthese oder Ti -
tannetze), zusätzlich zu der Leis -
tung nach der Nummer 9100, je
Kieferhälfte oder Frontzahnbe -
reich",K_Implantologische_Leistungen,675.0,37.96,87.32,132.87,"The text references to the paragraph with the number 9100.

References: Nummer 9100",,
9160,"Entfernung unter der Schleimhaut
liegender Materialien (z.B. Barrie -
ren €einschließlich Fixierung €,
Osteosynthesematerial), je Kiefer -
hälfte oder Frontzahnbereich",K_Implantologische_Leistungen,330.0,18.56,42.69,64.96,The text does not mention any references to other paragraphs.,,
9170,"Entfernung im Knochen liegender
Materialien durch Osteotomie (z.B.
Osteosynthesematerial, Knochen -
schrauben) oder Entfernung eines
subperiostalen Gerüstimplantats,
je Kieferhälfte oder Frontzahnbe -
reich
Die Entfernung eines Implantats ist
mit der Gebühr für die Leistungen
nach den Nummern 3000 und 3030 abgegolten.",K_Implantologische_Leistungen,500.0,28.12,64.68,98.42,"References: Nummern 3000, 3030",,Die Entfernung eines Implantats ist mit der Gebühr für die Leistungen nach den Nummern 3000 und 3030 abgegolten.
500,"Zuschlag bei nichtstationärer Durch -
führung von zahnärztlich-chirurgi -
schen Leistungen, die mit Punkt -
zahlen von 250 bis 499 Punkten
bewertet sind, oder zu den Leis -
tungen nach den Nummern 4090
oder 4130
Der Zuschlag nach der Nummer 0500 ist je Behandlungstag nur
einmal berechnungsfähig. Der Zu -
schlag nach der Nummer 0500 ist
neben den Zuschlägen nach den
Nummern 0510 bis 0530 nicht be -
rechnungsfähig.",L_Zuschläge_zu_bestimmten,400.0,22.5,,,"References: Nummern 4090, 4130, 0500, 0510, 0530",,Der Zuschlag nach der Nummer 0500 ist je Behandlungstag nur einmal berechnungsfähig.
500,"Zuschlag bei nichtstationärer Durch -
führung von zahnärztlich-chirurgi -
schen Leistungen, die mit Punkt -
zahlen von 250 bis 499 Punkten
bewertet sind, oder zu den Leis -
tungen nach den Nummern 4090
oder 4130
Der Zuschlag nach der Nummer 0500 ist je Behandlungstag nur
einmal berechnungsfähig. Der Zu -
schlag nach der Nummer 0500 ist
neben den Zuschlägen nach den
Nummern 0510 bis 0530 nicht be -
rechnungsfähig.",L_Zuschläge_zu_bestimmten,400.0,22.5,,,"References: Nummern 4090, 4130, 0500, 0510, 0530",,Der Zuschlag nach der Nummer 0500 ist neben den Zuschlägen nach den Nummern 0510 bis 0530 nicht berechnungsfähig.
510,"Zuschlag bei nichtstationärer Durch -
führung von zahnärztlich-chirurgi -
schen Leistungen, die mit Punkt -
zahlen von 500 bis 799 Punkten
bewertet sind
Der Zuschlag nach der Nummer 0510 ist je Behandlungstag nur
einmal berechnungsfähig. Der Zu -
schlag nach der Nummer 0510 ist
neben den Zuschlägen nach den
Nummern 0500, 0520 und/oder 0530 nicht berechnungsfähig.",L_Zuschläge_zu_bestimmten,750.0,42.18,,,"References: Nummer 0510, Nummer 0500, Nummer 0520, Nummer 0530",,Der Zuschlag nach der Nummer 0510 ist je Behandlungstag nur einmal berechnungsfähig.
